strategy,run_id,exchange,datafeed,feed_db,fills,notional,realized_pnl,completed_pair_pnl,unpaired_leftover_pnl,paired_locked_edge,max_abs_raw_net_contracts,profit_factor,sharpe,max_drawdown,settlement_source,fill_timing,settlements_from_feed_db,strategy_params,run_dir
simple_inventory_mm,matrix2-mm-net20-repair300-cheap40-1778994607,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,1740,5384.872544,-68.332193,0,0,144.707129,20,0.971249,-0.195971,133.765103,mixed,next-tick,true,"{""cheap_limit_price"": 0.4, ""max_net_contracts"": 20, ""repair_window_seconds"": 300}",runs/simple_inventory_mm/matrix2-mm-net20-repair300-cheap40-1778994607
strategy_probability_mm_v0,kalshi-prob-mm-opt-20260520T021230Z-train-013,kalshi,kalshi-btc-1s,/home/matt/workspace/kalshi-btc-15m-bot/feed/kalshi-btc-1s.sqlite3,690,6900.0,-70.832582,788.207267,-859.039849,807.370667,320.456697,0.98193,-0.140348,226.201397,kalshi_api,next-tick,true,"{""base_notional"": 10.0, ""edge_threshold"": 0.03, ""force_flatten_seconds"": 60.0, ""max_atr_slope"": 1.5, ""max_net_ratio"": 0.25, ""max_wickiness"": 0.75, ""min_seconds_to_close"": 120.0, ""min_volatility"": 1.0}",/home/matt/workspace/kalshi-btc-15m-bot/runs/strategy_probability_mm_v0/kalshi-prob-mm-opt-20260520T021230Z-train-013
simple_inventory_mm,matrix2-mm-net30-repair300-cheap35-1778994661,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,1864,5811.79845,-71.269563,0,0,164.95826,30.0,0.972029,-0.187969,185.380043,mixed,next-tick,true,"{""cheap_limit_price"": 0.35, ""max_net_contracts"": 30, ""repair_window_seconds"": 300}",runs/simple_inventory_mm/matrix2-mm-net30-repair300-cheap35-1778994661
cheap_accumulate_repair_v0,cheap-sweep-cheap12_repair8-20260518T054033Z,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,546,1270.323932,-72.519179,97.020644,-169.539823,99.751907,777.4872,0.894792,-0.432169,232.268173,kalshi_api,next-tick,true,"{""cheap_price"": 0.12, ""direct_pair_cost"": 0.92, ""direct_pair_spend"": 5, ""max_total_cost"": 35, ""min_seconds_between_orders"": 10, ""normal_spend"": 1, ""repair_start_seconds"": 480, ""very_cheap_price"": 0.06, ""very_cheap_spend"": 2}",runs/cheap_accumulate_repair_v0/cheap-sweep-cheap12_repair8-20260518T054033Z
seed_cheap_accumulate_repair_v1,seed_120-20260518T055947Z,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,2066,9995.793752,-76.364434,1379.064081,-1455.428514,2278.383134,785.646651,0.985734,-0.059281,369.079826,mixed,next-tick,true,"{""cheap_price"": 0.15, ""max_total_cost"": 50, ""min_seconds_between_orders"": 5, ""normal_spend"": 1, ""repair_start_seconds"": 120, ""seed_hedge_spend"": 10, ""seed_primary_spend"": 30, ""very_cheap_price"": 0.08, ""very_cheap_spend"": 2}",runs/seed_cheap_accumulate_repair_v1/seed_120-20260518T055947Z
strategy_probability_mm_v0,kalshi-prob-mm-opt-20260520T060741Z-train-004,kalshi,kalshi-btc-1s,/home/matt/workspace/kalshi-btc-15m-bot/feed/kalshi-btc-1s.sqlite3,609,5483.624283,-77.944583,657.806679,-735.751262,657.267568,129.451668,0.96812,-0.179783,246.435737,kalshi_api,next-tick,true,"{""base_notional"": 10.0, ""edge_threshold"": 0.04, ""force_flatten_seconds"": 60.0, ""max_atr_slope"": 1.5, ""max_net_ratio"": 0.25, ""max_wickiness"": 0.75, ""min_seconds_to_close"": 30.0, ""min_volatility"": 1.0, ""probability_model"": ""bayesian_markov""}",/home/matt/workspace/kalshi-btc-15m-bot/runs/strategy_probability_mm_v0/kalshi-prob-mm-opt-20260520T060741Z-train-004
strategy_probability_mm_v0,kalshi-prob-mm-opt-20260520T061323Z-train-004,kalshi,kalshi-btc-1s,/home/matt/workspace/kalshi-btc-15m-bot/feed/kalshi-btc-1s.sqlite3,609,5483.624283,-77.944583,657.806679,-735.751262,657.267568,129.451668,0.96812,-0.179783,246.435737,kalshi_api,next-tick,true,"{""base_notional"": 10.0, ""edge_threshold"": 0.04, ""force_flatten_seconds"": 60.0, ""max_atr_slope"": 1.5, ""max_net_ratio"": 0.25, ""max_wickiness"": 0.75, ""min_seconds_to_close"": 30.0, ""min_volatility"": 1.0, ""probability_model"": ""bayesian_markov""}",/home/matt/workspace/kalshi-btc-15m-bot/runs/strategy_probability_mm_v0/kalshi-prob-mm-opt-20260520T061323Z-train-004
simple_inventory_mm,limit5-net200-gross200-recycle-20260517T162104Z,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,251,620.477456,-80.537797,0,0,7.101149,130.941347,0.7599,-2.088581,163.959985,kalshi_api,next-tick,true,"{""cheap_add_contracts"": 5, ""cheap_limit_price"": 0.4, ""max_gross_contracts"": 200, ""max_net_contracts"": 200, ""min_seconds_between_orders"": 0, ""repair_add_contracts"": 5, ""repair_window_seconds"": 300, ""rich_add_contracts"": 5, ""seed_add_contracts"": 5, ""very_cheap_add_contracts"": 5}",runs/simple_inventory_mm/limit5-net200-gross200-recycle-20260517T162104Z
strategy_probability_mm_v0,kalshi-prob-mm-opt-20260520T061323Z-train-013,kalshi,kalshi-btc-1s,/home/matt/workspace/kalshi-btc-15m-bot/feed/kalshi-btc-1s.sqlite3,453,4401.46486,-81.384968,890.66279,-972.047758,890.700546,54.731926,0.967073,-0.226958,166.337451,kalshi_api,next-tick,true,"{""base_notional"": 10.0, ""edge_threshold"": 0.03, ""force_flatten_seconds"": 60.0, ""max_atr_slope"": 1.5, ""max_net_ratio"": 0.25, ""max_wickiness"": 0.75, ""min_seconds_to_close"": 60.0, ""min_volatility"": 1.0, ""probability_model"": ""bayesian_markov""}",/home/matt/workspace/kalshi-btc-15m-bot/runs/strategy_probability_mm_v0/kalshi-prob-mm-opt-20260520T061323Z-train-013
inventory_aware_passive_mm,venue-strategy-matrix-20260520T003002Z-polymarket-inventory_aware_passive_mm,polymarket,polymarket-btc-1s,/home/matt/workspace/kalshi-btc-15m-bot/feed/polymarket-btc-1s.sqlite3,72,872.626728,-83.622448,144.851292,-228.47374,147.02808,37.5,0.825158,-1.367671,133.519836,replay_final_snapshot,next-tick,true,{},/home/matt/workspace/kalshi-btc-15m-bot/runs/inventory_aware_passive_mm/venue-strategy-matrix-20260520T003002Z-polymarket-inventory_aware_passive_mm
simple_inventory_mm,matrix2-mm-net20-repair300-cheap35-1778994589,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,1654,5275.94053,-83.622525,0,0,149.312289,20,0.964494,-0.242089,131.076294,mixed,next-tick,true,"{""cheap_limit_price"": 0.35, ""max_net_contracts"": 20, ""repair_window_seconds"": 300}",runs/simple_inventory_mm/matrix2-mm-net20-repair300-cheap35-1778994589
simple_inventory_mm,matrix2-mm-net10-repair300-cheap35-1778994518,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,1090,3606.975184,-83.811693,0,0,27.317225,10,0.947791,-0.356614,110.304729,mixed,next-tick,true,"{""cheap_limit_price"": 0.35, ""max_net_contracts"": 10, ""repair_window_seconds"": 300}",runs/simple_inventory_mm/matrix2-mm-net10-repair300-cheap35-1778994518
strategy_probability_mm_v0,kalshi-prob-mm-opt-20260520T021230Z-train-022,kalshi,kalshi-btc-1s,/home/matt/workspace/kalshi-btc-15m-bot/feed/kalshi-btc-1s.sqlite3,975,4626.044991,-86.071382,-106.107973,20.036592,-106.061352,10.638298,0.95542,-0.297274,149.038647,kalshi_api,next-tick,true,"{""base_notional"": 5.0, ""edge_threshold"": 0.04, ""force_flatten_seconds"": 120.0, ""max_atr_slope"": 3.0, ""max_net_ratio"": 0.25, ""max_wickiness"": 0.75, ""min_seconds_to_close"": 30.0, ""min_volatility"": 0.5}",/home/matt/workspace/kalshi-btc-15m-bot/runs/strategy_probability_mm_v0/kalshi-prob-mm-opt-20260520T021230Z-train-022
simple_inventory_mm,matrix2-mm-net30-repair180-cheap40-1778994643,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,1943,5873.179434,-95.566215,0,0,314.923756,30.0,0.96415,-0.241375,245.73387,mixed,next-tick,true,"{""cheap_limit_price"": 0.4, ""max_net_contracts"": 30, ""repair_window_seconds"": 180}",runs/simple_inventory_mm/matrix2-mm-net30-repair180-cheap40-1778994643
strategy_probability_mm_v0,kalshi-prob-mm-opt-20260520T061323Z-train-008,kalshi,kalshi-btc-1s,/home/matt/workspace/kalshi-btc-15m-bot/feed/kalshi-btc-1s.sqlite3,622,8487.438812,-95.759196,784.461852,-880.221048,780.373044,65.217391,0.974719,-0.151376,206.580213,kalshi_api,next-tick,true,"{""base_notional"": 15.0, ""edge_threshold"": 0.03, ""force_flatten_seconds"": 60.0, ""max_atr_slope"": 1.5, ""max_net_ratio"": 0.25, ""max_wickiness"": 0.75, ""min_seconds_to_close"": 30.0, ""min_volatility"": 1.0, ""probability_model"": ""bayesian_markov""}",/home/matt/workspace/kalshi-btc-15m-bot/runs/strategy_probability_mm_v0/kalshi-prob-mm-opt-20260520T061323Z-train-008
strategy_probability_mm_v0,kalshi-prob-mm-opt-20260520T011930Z-train-001,kalshi,kalshi-btc-1s,/home/matt/workspace/kalshi-btc-15m-bot/feed/kalshi-btc-1s.sqlite3,1055,10058.138221,-99.502687,205.567652,-305.070339,207.252933,51.335605,0.977781,-0.147527,233.169079,kalshi_api,next-tick,true,"{""base_notional"": 10.0, ""edge_threshold"": 0.03, ""force_flatten_seconds"": 60.0, ""max_atr_slope"": 1.5, ""max_net_ratio"": 0.25, ""max_wickiness"": 0.75, ""min_seconds_to_close"": 30.0, ""min_volatility"": 1.0}",/home/matt/workspace/kalshi-btc-15m-bot/runs/strategy_probability_mm_v0/kalshi-prob-mm-opt-20260520T011930Z-train-001
strategy_probability_mm_v0,kalshi-prob-mm-opt-20260520T012050Z-train-001,kalshi,kalshi-btc-1s,/home/matt/workspace/kalshi-btc-15m-bot/feed/kalshi-btc-1s.sqlite3,1055,10058.138221,-99.502687,205.567652,-305.070339,207.252933,51.335605,0.977781,-0.147527,233.169079,kalshi_api,next-tick,true,"{""base_notional"": 10.0, ""edge_threshold"": 0.03, ""force_flatten_seconds"": 60.0, ""max_atr_slope"": 1.5, ""max_net_ratio"": 0.25, ""max_wickiness"": 0.75, ""min_seconds_to_close"": 30.0, ""min_volatility"": 1.0}",/home/matt/workspace/kalshi-btc-15m-bot/runs/strategy_probability_mm_v0/kalshi-prob-mm-opt-20260520T012050Z-train-001
